fips,pop_tot,pop_male,pop_female,hispanic,labor_total,labor_armed,labor_employed,labor_unemployed,income_median,income_percapita,income_poverty,native_yes,native_no,houses_tot,income_10,income_10-15,income_15-25,income_25,marital_single,marital_married,marital_sepdiv,marital_widow,edu_low,edu_mid,edu_high,edu_low_age_18,edu_low_age_45,edu_low_age_65,edu_mid_age_18,edu_mid_age_45,edu_mid_age_65,edu_high_age_18,edu_high_age_45,edu_high_age_65,race_wht_total,race_wht_male,race_wht_female,race_blk_total,race_blk_male,race_blk_female,race_other_total,race_other_male,race_other_female,area_sqmi,pop_density,year,dem,repub,other
40145,77850,38525,39325,4643,38658.0,51.0,36367.0,2240.0,61566.0,28286.0,8231.0,74885.0,2965.0,28748,1355.0,1008.0,2285.0,24100.0,14143,35541,8469,3781,6248,39670,12620,2933,1614,1701,17330,14098,8242,5721,4728,2171,58837,29128,29709,2693,1420,1273,16320,7977,8343,590.667,131.8001513543164,2016,6723,23005,1572
31041,10566,5314,5252,388,5345.0,0.0,5261.0,84.0,62288.0,35562.0,1177.0,10400.0,166.0,4543,116.0,169.0,510.0,3748.0,1898,5065,903,598,545,5528,1957,281,95,169,2061,1771,1696,753,729,475,10058,5030,5028,61,61,0,447,223,224,2575.942,4.101800428736361,2020,786,5090,117
53023,2224,1099,1125,47,997.0,0.0,923.0,74.0,52525.0,25539.0,255.0,2161.0,63.0,997,69.0,39.0,103.0,786.0,291,1184,269,89,69,1215,411,36,15,18,338,524,353,187,111,113,2040,1025,1015,0,0,0,184,74,110,718.282,3.096276949721697,2016,279,851,116
51610,11465,5494,5971,978,6643.0,67.0,6173.0,403.0,114409.0,55389.0,546.0,9408.0,2057.0,4706,189.0,96.0,84.0,4337.0,2976,4891,930,436,388,2606,5677,170,61,157,1277,859,470,2450,2571,656,8974,4367,4607,530,238,292,1961,889,1072,1.999,5735.367683841921,2008,4695,1970,85
19179,35406,17395,18011,3406,17802.0,0.0,16216.0,1586.0,41519.0,21909.0,6575.0,32660.0,2746.0,14608,1227.0,1180.0,2134.0,10067.0,7465,14963,4064,2276,4630,18945,3846,2154,1233,1243,8199,6907,3839,1617,1478,751,32875,16086,16789,554,285,269,1977,1024,953,436.019,81.20288336058749,2012,8663,6789,318
5017,12102,5893,6209,481,4619.0,3.0,3903.0,713.0,21676.0,14668.0,3851.0,11828.0,274.0,4705,762.0,790.0,1059.0,2094.0,3166,3757,1593,1224,2839,5275,1090,923,914,1002,2383,2013,879,472,384,234,5057,2495,2562,6615,3117,3498,430,281,149,644.304,18.783058928704463,2008,3043,2119,46
49001,7102,3814,3288,919,3184.0,4.0,3064.0,116.0,80268.0,28176.0,485.0,6653.0,449.0,2290,73.0,51.0,100.0,2066.0,1149,3522,494,154,501,3243,1168,249,181,71,1455,1109,679,671,243,254,6326,3370,2956,10,10,0,766,434,332,2584.934,2.7474589293188916,2020,357,2695,48
31099,6655,3337,3318,517,3532.0,0.0,3477.0,55.0,74276.0,37233.0,619.0,6312.0,343.0,2683,83.0,60.0,218.0,2322.0,1135,3135,629,352,356,3134,1446,182,4,170,1269,1099,766,566,485,395,6299,3158,3141,6,6,0,350,173,177,516.347,12.888619474888012,2020,701,2822,81
1099,19816,9758,10058,44,7160.0,78.0,6220.0,862.0,39965.0,23090.0,4472.0,19728.0,88.0,7298,669.0,606.0,1200.0,4823.0,5361,6967,2385,1721,2520,11209,1899,650,818,1052,4735,3959,2515,635,670,594,10645,5255,5390,8384,4070,4314,787,433,354,1034.394,19.157110346734417,2020,4455,6147,66
2013,3703,2662,1041,573,3227.0,0.0,3116.0,111.0,54375.0,22279.0,385.0,1028.0,2675.0,267,9.0,13.0,37.0,208.0,1101,1740,467,141,1200,1894,294,707,415,78,1255,595,44,139,150,5,579,502,77,406,387,19,2718,1773,945,6981.943,0.5303681224553107,2008,2800,8432,294
